restart,iteration,temperature,mutation_scale,current_accuracy,best_accuracy,current_margin,best_margin,visual_clutter,contour_density,color_variability,figure_ground_contrast,layout_regularity
1,500,0.07046719548751319,0.22670743252963846,0.6521739130434783,0.717391304347826,4.151452885879343,3.252461184049219,0.0429,0.1313,0.0429,0.2249,0.5581
1,1000,0.06207032049844251,0.20558503985672227,0.6521739130434783,0.717391304347826,6.867260572107301,3.272975081763877,0.192,0.2933,0.2762,0.0188,0.2197
1,1500,0.05467401760670432,0.1864306262096836,0.6666666666666666,0.717391304347826,7.837188622234053,3.272975081763877,0.3777,0.2177,0.0366,0.3314,0.0366
1,2000,0.04815905858474214,0.16906083445156034,0.6666666666666666,0.717391304347826,5.03743381442327,3.272975081763877,0.0262,0.2753,0.2006,0.0604,0.4375
1,2500,0.04242042244732032,0.153309390879326,0.6594202898550725,0.717391304347826,8.520036151516615,3.3840371734658987,0.3983,0.2993,0.0187,0.0187,0.2651
1,3000,0.037365602515727674,0.13902551355573906,0.6666666666666666,0.717391304347826,5.380233654385923,3.3840371734658987,0.1008,0.2484,0.0386,0.0386,0.5735
1,3500,0.03291311521230621,0.1260724689373442,0.6956521739130435,0.717391304347826,4.527588504615534,3.3840371734658987,0.1232,0.0721,0.0385,0.577,0.1892
1,4000,0.028991186547107823,0.11432626298183159,0.6811594202898551,0.717391304347826,9.204157715799262,3.3840371734658987,0.6116,0.0287,0.0658,0.0287,0.2652
1,4500,0.02553659512287512,0.10367445420527714,0.6739130434782609,0.717391304347826,7.718886987960396,3.3840371734658987,0.4442,0.0435,0.1433,0.2675,0.1015
1,5000,0.022493653007613964,0.09401507732715984,0.6666666666666666,0.717391304347826,4.4965143225334945,3.3840371734658987,0.0903,0.0794,0.1495,0.2057,0.475
1,5500,0.019813308046447778,0.08525566719966332,0.6376811594202898,0.717391304347826,5.77098394309009,3.3840371734658987,0.0746,0.2835,0.3722,0.2237,0.046
1,6000,0.017452353142041924,0.07731237367774793,0.6666666666666666,0.717391304347826,8.686583541436066,3.3840371734658987,0.5057,0.1392,0.0284,0.1501,0.1766
1,6500,0.01537272975721729,0.07010915895701694,0.6666666666666666,0.717391304347826,9.21684833113302,3.3840371734658987,0.5913,0.0304,0.216,0.1319,0.0304
1,7000,0.01354091441223178,0.06357706969583046,0.6811594202898551,0.717391304347826,4.108034848972977,3.3840371734658987,0.0991,0.0372,0.0372,0.5596,0.2668
1,7500,0.011927378287080268,0.05765357695399842,0.6884057971014492,0.717391304347826,7.911532399231103,3.3840371734658987,0.493,0.0273,0.0273,0.3645,0.0879
1,8000,0.010506111217615069,0.05228197762956366,0.6811594202898551,0.717391304347826,7.4788629825003765,3.3840371734658987,0.3683,0.1378,0.1054,0.0606,0.3279
1,8500,0.009254202412315456,0.04741085166388148,0.6666666666666666,0.717391304347826,6.7612925742189525,3.3840371734658987,0.1441,0.4027,0.1521,0.2178,0.0833
1,9000,0.008151471130870617,0.04299356981904843,0.6884057971014492,0.717391304347826,7.870251723971881,3.3840371734658987,0.4816,0.0331,0.0303,0.213,0.242
1,9500,0.007180141371123501,0.038987847315840894,0.6666666666666666,0.717391304347826,5.792165061458717,3.3840371734658987,0.207,0.1403,0.0259,0.1226,0.5042
1,10000,0.006324555320336759,0.035355339059327376,0.7101449275362319,0.717391304347826,4.084803202518695,3.3840371734658987,0.106,0.03,0.03,0.738,0.0961
